executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 08:40:43 up 21 days, 17:38,  0 users,  load average: 0.16, 0.15, 0.16', 'Tasks: 1990 total,   1 running, 1989 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 472901.9 free,  29871.1 used,  11686.3 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 481260.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 168120 eq4036    20   0   57968   6436   3672 R  28.6   0.0   0:00.14 top', '  13532 root      20   0       0      0      0 S   4.8   0.0   0:14.68 SEPDRV_ABNORMAL', '      1 root      20   0  239460  12120   8024 S   0.0   0.0  50:43.52 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:24.28 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 08:40:44 up 21 days, 17:38,  0 users,  load average: 0.16, 0.15, 0.16\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,NoPrecond,500,1,4864,hkn1990.localdomain,64,1,2022-05-17 06:40:44.319898,14cf9fad9bc207a37f19287f0d07115e,0
DefaultOF,CG,NoPrecond,500,1,152,hkn1990.localdomain,2,1,2022-05-17 06:40:46.139715,0604ee591d928b3a55f7ceaee74a9fb2,0
DefaultOF,CG,NoPrecond,500,1,304,hkn1990.localdomain,4,1,2022-05-17 06:40:46.265228,a7f9e1a45438e33032e67a2a0ea718f8,0
DefaultOF,CG,NoPrecond,500,1,2432,hkn1990.localdomain,32,1,2022-05-17 06:40:46.502611,2b0b3515a56ced5b0e1ca419a5a55f88,0
DefaultOF,CG,NoPrecond,500,1,38,hkn1990.localdomain,0.5,1,2022-05-17 06:40:47.343263,8a29328fd655a971467f928c60d48883,0
DefaultOF,CG,NoPrecond,500,1,1216,hkn1990.localdomain,16,1,2022-05-17 06:40:47.512690,1cbde6b297ad8def8f375a69f3b55ac6,0
DefaultOF,CG,NoPrecond,500,1,76,hkn1990.localdomain,1,1,2022-05-17 06:40:47.980051,153a2f6f060dfa3d8b762c61bd461cff,0
DefaultOF,CG,NoPrecond,500,1,608,hkn1990.localdomain,8,1,2022-05-17 06:40:48.089873,67cad1ebbab514937266771a8409d823,0
DefaultOF,CG,NoPrecond,400,1,4864,hkn1990.localdomain,64,1,2022-05-17 06:40:48.524355,d4909101444bd4dcdd7ea078ccd4055a,0
DefaultOF,CG,NoPrecond,400,1,152,hkn1990.localdomain,2,1,2022-05-17 06:40:50.224266,277f6f3eee66da5c49317ddd55487cbd,0
DefaultOF,CG,NoPrecond,400,1,304,hkn1990.localdomain,4,1,2022-05-17 06:40:50.400537,4414fb9c5b425c3d10a1b760c97c5498,0
DefaultOF,CG,NoPrecond,400,1,2432,hkn1990.localdomain,32,1,2022-05-17 06:40:50.770053,c67ed967f60e93b212d9a52aac32f9a6,0
DefaultOF,CG,NoPrecond,400,1,38,hkn1990.localdomain,0.5,1,2022-05-17 06:40:51.794733,c7b2d6df09ec3d2e5d9c06455a57f828,0
DefaultOF,CG,NoPrecond,400,1,1216,hkn1990.localdomain,16,1,2022-05-17 06:40:51.890763,718446966ed29b4070cc920f74d34d01,0
DefaultOF,CG,NoPrecond,400,1,76,hkn1990.localdomain,1,1,2022-05-17 06:40:52.334401,2a4bf83e3e93679409b71fc404d2d275,0
DefaultOF,CG,NoPrecond,400,1,608,hkn1990.localdomain,8,1,2022-05-17 06:40:52.434917,3e34da98463a8ffbe68d768f5d3fd9b0,0
DefaultOF,CG,NoPrecond,300,1,4864,hkn1990.localdomain,64,1,2022-05-17 06:40:52.824288,18b63ab2cc7521c8a027563fea67431b,0
DefaultOF,CG,NoPrecond,300,1,152,hkn1990.localdomain,2,1,2022-05-17 06:40:54.478875,0f97515a8d82a59aad311d74e04fa6db,0
DefaultOF,CG,NoPrecond,300,1,304,hkn1990.localdomain,4,1,2022-05-17 06:40:54.649037,02a899819abec99af550d781ded15b72,0
DefaultOF,CG,NoPrecond,300,1,2432,hkn1990.localdomain,32,1,2022-05-17 06:40:54.966855,ddea5e77ca262af7a332ecc5fb9666ea,0
DefaultOF,CG,NoPrecond,300,1,38,hkn1990.localdomain,0.5,1,2022-05-17 06:40:55.880215,6dd604ce773b85978bf4e981f4f923c3,0
DefaultOF,CG,NoPrecond,300,1,1216,hkn1990.localdomain,16,1,2022-05-17 06:40:55.969340,c570641980fd30d761c5a9dce0e44fc4,0
DefaultOF,CG,NoPrecond,300,1,76,hkn1990.localdomain,1,1,2022-05-17 06:40:56.413047,47cace32ad5156aa6deafe1a48ce6d5b,0
DefaultOF,CG,NoPrecond,300,1,608,hkn1990.localdomain,8,1,2022-05-17 06:40:56.514520,4860e22c36fa933762cb716d090b8e65,0
DefaultOF,CG,NoPrecond,200,1,4864,hkn1990.localdomain,64,1,2022-05-17 06:40:56.900352,9886015cfabc84573008bad64aea606a,0
DefaultOF,CG,NoPrecond,200,1,152,hkn1990.localdomain,2,1,2022-05-17 06:40:58.556041,c21b1fc6b00a32dddf1b62e2ed614cde,0
DefaultOF,CG,NoPrecond,200,1,304,hkn1990.localdomain,4,1,2022-05-17 06:40:58.704852,4be8cc2e6b695d47f65099adfccbd05f,0
DefaultOF,CG,NoPrecond,200,1,2432,hkn1990.localdomain,32,1,2022-05-17 06:40:59.019641,5db3f6894540dd48db66c65cfc9a5140,0
DefaultOF,CG,NoPrecond,200,1,38,hkn1990.localdomain,0.5,1,2022-05-17 06:40:59.867741,623f163d843d800b4e29b8828da1e025,0
DefaultOF,CG,NoPrecond,200,1,1216,hkn1990.localdomain,16,1,2022-05-17 06:40:59.951026,588e2ae9c46637aad62c2545c9e79462,0
DefaultOF,CG,NoPrecond,200,1,76,hkn1990.localdomain,1,1,2022-05-17 06:41:00.395067,f8f71dd6e1b78b231a4a087752915c4d,0
DefaultOF,CG,NoPrecond,200,1,608,hkn1990.localdomain,8,1,2022-05-17 06:41:00.512128,95786e6fb1df60fff3de090e67357e9c,0
DefaultOF,CG,NoPrecond,100,1,4864,hkn1990.localdomain,64,1,2022-05-17 06:41:01.150040,f470097f12041f24147e6888467d3db5,0
DefaultOF,CG,NoPrecond,100,1,152,hkn1990.localdomain,2,1,2022-05-17 06:41:02.798444,67db49043ea292363f44e77f5b226810,0
DefaultOF,CG,NoPrecond,100,1,304,hkn1990.localdomain,4,1,2022-05-17 06:41:02.895415,6cc3ca7f058b3c740df0e55cf5a46b2c,0
DefaultOF,CG,NoPrecond,100,1,2432,hkn1990.localdomain,32,1,2022-05-17 06:41:03.092284,ad0d992ca98c841d1218e2ccfb1b7c5e,0
DefaultOF,CG,NoPrecond,100,1,38,hkn1990.localdomain,0.5,1,2022-05-17 06:41:03.925954,b1c632540024ea623bf842916c3189d7,0
DefaultOF,CG,NoPrecond,100,1,1216,hkn1990.localdomain,16,1,2022-05-17 06:41:04.035290,7ef2c5f152565763837c16dd99a072a9,0
DefaultOF,CG,NoPrecond,100,1,76,hkn1990.localdomain,1,1,2022-05-17 06:41:04.497117,35bdc76b107f83725a0ab3337991e920,0
DefaultOF,CG,NoPrecond,100,1,608,hkn1990.localdomain,8,1,2022-05-17 06:41:04.595343,acfc07592b55be7605cb1302e882b948,0
