executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 14:31:37 up 48 days,  4:24,  3 users,  load average: 0.16, 0.30, 3.80', 'Tasks: 952 total,   1 running, 951 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.2 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 446442.2 free,   3784.1 used,  65357.9 buff/cache', 'MiB Swap: 131072.0 total, 131021.0 free,     51.0 used. 508462.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1816124 greole    25   5   66248   5788   4132 R   5.9   0.0   0:00.03 top', '      1 root      20   0  242276  12916   6868 S   0.0   0.0   0:23.90 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.30 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:01.48 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   3:47.27 rcu_sch+'], 'uptime': ' 14:31:37 up 48 days,  4:24,  3 users,  load average: 0.16, 0.30, 3.80\n', 'libOGL.so': '4feb5a9af6888972ba40a17b378ef307  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,GMRES,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,ILU,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,GMRES,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,BJ,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,CG,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,CG,BJ,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,CG,BJ,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,1a5bb658aed2721e9f43e36cb81c22ff,222.593074
HIP,CG,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,5cb4ca5695bf160579dea925f0834103,170.532728
HIP,BiCGStab,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,09ad171ab9ce2a5dc4dbe5692632f3a8,161.7563
HIP,BiCGStab,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,d64fb5e0fa36a6a262e20ef961f8ef66,234.370165
HIP,BiCGStab,ISAI,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,BiCGStab,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,99b2e2ec6e2f3e89b28be26535a57c8c,235.698276
HIP,BiCGStab,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,87819d55e56c332759b1c7eb6401ce93,186.317009
HIP,BiCGStab,BJ,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,b0cabbceb45874cda7600c68fd478799,114.91266
HIP,BiCGStab,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,BiCGStab,BJ,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,BiCGStab,BJ,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,ce3513279ad59f76f37c2173ea0176c3,223.87815
HIP,BiCGStab,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,9429ff39544b0704273086716db75396,167.930488
HIP,BiCGStab,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,80d2833ecd31cfcb6cc2da13d36deb0d,139.381593
HIP,BiCGStab,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,e7632980730681ee5bcfc03566076721,187.155525
HIP,BiCGStab,Multigrid,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,BiCGStab,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0145ec435a59ad46bf16bc40603b27c3,229.233294
HIP,BiCGStab,Multigrid,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,468fa47f983833a8a4c5ca9b097083b1,176.614737
HIP,CG,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,31aba63fcede627a16caae0eac81927f,227.373881
HIP,CG,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,a3ffa5ba419e3235850dc66987b9ad7b,314.396938
HIP,CG,ILU,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,CG,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,CG,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,GMRES,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,ISAI,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,GMRES,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,df03c73d1caeb6163ebc2074d1a8a7d1,146.756455
HIP,CG,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,59334c61de7e247888d39a2e2aefd51a,165.658185
HIP,CG,Multigrid,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,CG,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,d43151500634f17e7cbf762aa1744f2a,234.676315
HIP,CG,Multigrid,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,7c919998647c96ca55638a9789ea4cde,180.594481
HIP,BiCGStab,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,09e6e213c3ce9d4c5ed93969fc0113d9,341.089786
HIP,BiCGStab,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,2683ff8088184fe833b57a16990cf003,443.104235
HIP,BiCGStab,ILU,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,BiCGStab,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,d9d87f8c93a1122cc95ab770b4015bd4,447.309847
HIP,BiCGStab,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,9a64207e21fab2c60ca00405e8f593ed,393.43824
HIP,GMRES,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,Multigrid,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,GMRES,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,Multigrid,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,CG,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,f043c4ba66f36929e0d566063695a83d,205.575595
HIP,CG,ISAI,Large,None,40,nla-gpu2.ianm.kit.edu,1,40,0,0
HIP,CG,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,93231ede7f39f60bbe1ba3bef7665e64,242.831734
HIP,CG,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,cb1baeea9ec406a847c5747a5ec0f15c,187.88576
